[Artist Name],[Artist style Trained?],[Midjourney (prompt: artwork by <artist full name>)],[Midjourney (prompt: portrait of a person by <artist full name> --ar 2:3)],[Midjourney (prompt: environment design by <artist full name> --ar 16:9)],[extra example],"Author Specific prompt [first column for prompt, second for image] (author speciality)",
A.B. Frost,NO,,,,,[] (minimalism),
Aaron Douglas,Yes,,,,,,
Aaron Horkey,Yes,,,,,,
Aaron McGruder,Yes,,,,,,
Aaron Miller,NO,,,,,,
Aaron Siskind,Yes,,,,,,
Abigail Larson,Yes,,,,,,
Abraham Ortelius,Yes,,,,,,
Adam Hughes,Yes,,,,,,
Adam Paquette,NO,,,,               ,,
Adam Varga,NO,,,,,,
Adolph Frederick Reinhardt,NO,,,,,,
Adolph Gottlieb,Yes,,,,,,
Adolph Menzel,Yes,,,,,,
Adonna Khare,NO,,,,,,
Adriaen van de Venne,Yes,,,,,,
Adriano Costa,NO,,,,,,
Aelita Andre,NO,,,,,,
Affandi,Yes,,,,,,
Affandi Koesoema,Yes,,,,,,
Agnes Bernice Martin,Yes,,,,,,
Agnes Lawrence Pelton,Yes,,,,albert,,
Agnolo Bronzino,Yes,,,,,,
Aguri Igarashi,NO,,,,,,
Agustín Fernández,NO,,,,,,
Ahmed Karahisari,NO,,,,,,
Ajin,Yes,,,,,,
Akihiko Yoshida,Yes,,,,,,
Akihisa Ikeda,NO,,,,,,
Akiko Higashimura,NO,,,,s,,
Akira Amano,NO,,,,NIXEU,,
Akira Toriyama,NO,,,,,,
Al Feldstein,Yes,,,,,,
Al Jaffee,Yes,,,,,,
Al Williamson,Yes,,,,,,
Alan Charlton,NO,,,,,,
Alan Lee,Yes,,,,,,
Albert Bierstadt,Yes,,,,,,
Albert Dorne,NO,,,,,,
Albert Dürer Lucas,NO,,,,,,
Albert Edelfelt,Yes,,,,,,
Albert Ernest Carrier Belleuse,NO,,,,,,
Albert Joseph Pénot,NO,,,,,,
Alberto Giacometti,Yes,,,,,,
Alberto Vargas,Yes,,,,,,
Albrecht Altdorfer,Yes,,,,,,
Albrecht Durer,Yes,,,,,,
Albrecht Dürer,Yes,,,,,,
Aldus Manutius,Yes,,,,,,
Alejandro Obregon,NO,,,,,,
Aleksi Briclot,Yes,,,,,,
Alena Aenami,Yes,,,,,,
Alessio Albi,Yes,,,,,,
Alex Alice,NO,,,,,,
Alex Grey,Yes,,,,,,
Alex Horley-Orlandelli,Yes,,,,,,
Alex Katz,Yes,,,,,,
Alex Raymond,Yes,,,,,,
Alex Ross,Yes,,,,,,
Alex Toth,Yes,,,,,,
Alexander Bogen,NO,,,,,,
Alexander Jansson,Yes,,,,,,
Alexander Milne Calder,Yes,,,,,,
Alexander Sharpe Ross,NO,,,,,,
Alexander Timofeev,NO,,,,,,
Alexandre Cabanel,Yes,,,,,,
Alexei Leonov,Yes,,,,,,
Alexei Savrasov,Yes,,,,,,
Alexej Georgewitsch Von Jawlensky,Yes,,,,,,
Alexej von Jawlensky,Yes,,,,,,
Alexis Ziritt,NO,,,,,,
Alfonso Angel Yangco Ossorio,NO,,,,,,
Alfonso Ossorio,Yes,,,,,,
Alfred Charles Parker,NO,,,,,,
Alfred Freddy Krupa,NO,,,,,,
Alfred Kubin,Yes,,,,,,
Alfred Sisley,Yes,,,,,,
Alice Neel,Yes,,,,,,
Alice Rahon,NO,,,,,,
Alphonse Mucha,Yes,,,,,,
Alphonso Mucha,Yes,,,,,,
Alvar Aalto,Yes,,,,,,
Alvaro Siza Vieira,Yes,,,,,,
Alyssa Monks,Yes,,,,,,
Amanda Sage,Yes,,,,,,
Amarynceus,?,,,,,,
Amedeo Modigliani,Yes,,,,,,
Amei Zhao,NO,,,,,,
Amir Zand,NO,,,,,,
Amos Sewell,NO,,,,,,
Amy Brown,NO,,,,,,
Amy Weber,NO,,,,,,
Anato Finnstark,?,,,,,,
Andre Breton,Yes,,,,,,
André François,Yes,,,,,,
André Leblanc,NO,,,,,,
André Masson,Yes,,,,,,
Andrea Mantegna,Yes,,,,,,
Andreas Rocha,Yes,,,,,,
Andrew Wyeth,Yes,,,,,,
Andrey Lekarski,NO,,,,,,
Android Jones,NO,,,,,,
Andy Kubert,Yes,,,,,,
Andy Warhol,Yes,,,,,,
Angus McKie,Yes,,,,,,
Anish Kapoor,Yes,,,,,,
Anita Kunz,NO,,,,,,
Anna Dittmann,Yes,,,,,,
Anna Haifisch,NO,,,,,,
Anna Mary Robertson Moses,NO,,,,,,
Anne Geddes,Yes,,,,,,
Anne McCaffrey,Yes,,,,,,
Anne Stokes,Yes,,,,,,
Anni Albers,Yes,,,,,,
Annibale Carracci,Yes,,,,,,
Ansel Adams,Yes,,,,,,
Anthony Palumbo,NO,,,,,,
Anthony S Waters,NO,,,,,,
Anthony van Dyck,Yes,,,,,,
Antoine Vit,NO,,,,,,
Anton Fadeev,?,,,,,,
Anton Otto Fischer,NO,,,,NIXEU,,
Anton Pieck,Yes,,,,,,
Antón Semenov,NO,,,,,,
Antoni Taulé,NO,,,,,,
Antonio Allegri Da Correggio,Yes,,,,,,
Antonio Mancini,Yes,,,,,,
Antonio Prohias,Yes,,,,,,
Antti Lovag,NO,,,,,,
Apitatan,NO,,,,,,
Apollonia Saintclair,Yes,,,,,,
April Gornik,NO,,,,,,
Arik Brauer,NO,,,,,,
Arina Tanemura,NO,,,,,,
Arkhip Kuindzhi,Yes,,,,,,
Arnie Swekel,NO,,,,,,
Arnold Bocklin,Yes,,,,,,
Arnold Böcklin,Yes,,,,,,
Arshile Gorky,Yes,,,,,,
Arshille Gorky,?,,,,,,
Art Fitzpatrick,NO,,,,,,
Art Spiegelman,Yes,,,,,,
Artemisia Gentileschi,Yes,,,,,,
Artgerm,Yes,,,,,,
Arthur Adams,?,,,,,,
Arthur Burdett Frost,NO,,,,,,
Arthur Dove,Yes,,,,,,
Arthur Garfield Dove,Yes,,,,,,
Arthur Rackham,Yes,,,,,,
Asaf Hanuka,Yes,,,,,,
Asher Brown Durand,Yes,,,,,,
Ashika Sakura,NO,,,,,,
Ashley Barron,NO,,,,,,
Ashley Wood,Yes,,,,,,
AssasinMonkey,Yes,,,,,,
Atey Ghailan,Yes,,,,,,
Aubrey Beardsley,Yes,,,,,,
Audrey Kawasaki,Yes,,,,,,
August Macke,Yes,,,,,,
Augustus Edwin Mulready,Yes,,,,,,
Aurél Bernáth,NO,,,,,,
