[Artist Name],[Artist style Trained?],[Midjourney (prompt: artwork by <artist full name>)],[Midjourney (prompt: portrait of a person by <artist full name> --ar 2:3)],[Midjourney (prompt: environment design by <artist full name> --ar 3:2)]
Aaron Douglas,Yes,,,
Aaron Horkey,Yes,,,
Aaron Jasinski,Yes,,,
Aaron McGruder,Yes,,,
Aaron Siskind,Yes,,,
Abanindranath Tagore,Yes,,,
Abbott Fuller Graves,Yes,,,
Abbott Handerson Thayer,Yes,,,
Abigail Larson,Yes,,,
Abraham Ortelius,Yes,,,
Ad Reinhardt,Yes,,,
Adam Hughes,?,,,
Adam Martinakis,Yes,,,
Adelaide Labille-Guiard,Yes,,,
Adolf Loos,Yes,,,
Adolf Wölfli,Yes,,,
Adolph Gottlieb,Yes,,,
Adolph Menzel,Yes,,,
Adonna Khare,Yes,,,
Adriaen van de Venne,Yes,,,
Afarin Sajedi,Yes,,,
Affandi,Yes,,,
Agnes Lawrence Pelton,Yes,,,
Agnes Martin,Yes,,,
Agnolo Bronzino,Yes,,,
Ai Weiwei,Yes,,,
Ajin,Yes,,,
Akihiko Yoshida,Anime only,,,
Akira Toriyama,Anime only,,,
Akos Major,Yes,,,
Al Feldstein,NO,,,
Al Hirschfeld,Yes,,,
Al Jaffee,NO,,,
Al Williamson,Yes,,,
Alain Laboile,Yes,,,
Alan Aldridge,Yes,,,
Alan Bean,Yes,,,
Alan Charlton,NO,,,
Alan Fletcher,Yes,,,
Alan Kenny,Yes,,,
Alan Lee,Yes,,,
Albert Bierstadt,Yes,,,
Albert Durer Lucas,NO,,,
Albert Edelfelt,Yes,,,
Albert Ernest Carrier Belleuse,NO,,,
Albert Joseph Moore,Yes,,,
Albert Joseph Penot,NO,,,
Albert Lebourg,Yes,,,
Albert Pinkham Ryder,Yes,,,
Albert Uderzo,Yes,,,
Albert Watson,Yes,,,
Alberto Giacometti,Yes,,,
Alberto Vargas,Yes,,,
Albrecht Durer,Yes,,,
Albrect Altdorfer,Yes,,,
Aldus Manutius,NO,,,
Alec Soth,Yes,,,
Alejandro Aravena,Yes,,,
Aleksi Briclot,Yes,,,
Alena Aenami,Yes,,,
Alessandro Gottardo,Yes,,,
Alessio Albi,Yes,,,
Alex Grey,Yes,,,
Alex Gross,Yes,,,
Alex Horley-Orlandelli,Yes,,,
Alex Howitt,Yes,,,
Alex Janvier,Yes,,,
Alex Katz,Yes,,,
