[Artist Name],[Midjourney (prompt: artwork by <artist full name>)],[Midjourney (prompt: portrait of a person by <artist full name> --ar 2:3)],[Midjourney (prompt: environment design by <artist full name> --ar 16:9)]
Aaron Douglas,,,
Aaron Horkey,,,
Aaron McGruder,,,
Aaron Siskind,,,
Abigail Larson,,,
Abraham Ortelius,,,
Adam Hughes,,,
Adolph Gottlieb,,,
Adolph Menzel,,,
Adriaen van de Venne,,,
Affandi,,,
Affandi Koesoema,,,
Agnes Bernice Martin,,,
Agnes Lawrence Pelton,,,
Agnolo Bronzino,,,
Ajin,,,
Akihiko Yoshida,,,
Al Feldstein,,,
Al Jaffee,,,
Al Williamson,,,
Alan Lee,,,
Albert Bierstadt,,,
Albert Edelfelt,,,
Alberto Giacometti,,,
Alberto Vargas,,,
Albrecht Altdorfer,,,
Albrecht Durer,,,
Albrecht Dürer,,,
Aldus Manutius,,,
Aleksi Briclot,,,
Alena Aenami,,,
Alessio Albi,,,
Alex Grey,,,
Alex Horley-Orlandelli,,,
Alex Katz,,,
Alex Raymond,,,
Alex Ross,,,
Alex Toth,,,
Alexander Jansson,,,
Alexander Milne Calder,,,
Alexandre Cabanel,,,
Alexei Leonov,,,
Alexei Savrasov,,,
Alexej Georgewitsch Von Jawlensky,,,
Alexej von Jawlensky,,,
Alfonso Ossorio,,,
Alfred Kubin,,,
Alfred Sisley,,,
Alice Neel,,,
Alphonse Mucha,,,
Alphonso Mucha,,,
Alvar Aalto,,,
Alvaro Siza Vieira,,,
Alyssa Monks,,,
Amanda Sage,,,
Amedeo Modigliani,,,
Andre Breton,,,
André François,,,
André Masson,,,
Andrea Mantegna,,,
Andreas Rocha,,,
Andrew Wyeth,,,
Andy Kubert,,,
Andy Warhol,,,
Angus McKie,,,
Anish Kapoor,,,
Anna Dittmann,,,
Anne Geddes,,,
Anne McCaffrey,,,
Anne Stokes,,,
Anni Albers,,,
Annibale Carracci,,,
Ansel Adams,,,
Anthony van Dyck,,,
Anton Pieck,,,
Antonio Allegri Da Correggio,,,
Antonio Mancini,,,
Antonio Prohias,,,
Apollonia Saintclair,,,
Arkhip Kuindzhi,,,
Arnold Bocklin,,,
Arnold Böcklin,,,
Arshile Gorky,,,
Art Spiegelman,,,
Artemisia Gentileschi,,,
Artgerm,,,
Arthur Dove,,,
Arthur Garfield Dove,,,
Arthur Rackham,,,
Asaf Hanuka,,,
Asher Brown Durand,,,
Ashley Wood,,,
AssasinMonkey,,,
Atey Ghailan,,,
Aubrey Beardsley,,,
Audrey Kawasaki,,,
August Macke,,,
Augustus Edwin Mulready,,,
Austin Briggs,,,
Ayami Kojima,,,
Balthus,,,
Banksy,,,
Barbara Kruger,,,
Barclay Shaw,,,
Barnett Newman,,,
Barry Windsor Smith,,,
Basil Gogos,,,
Basil Wolverton,,,
Bastien Lecouffe-Deharme,,,
Bauhaus,,,
Beatrix Potter,,,
Beauford Delaney,,,
Beeple,,,
Ben Shahn,,,
Ben Templesmith,,,
Benjamin West,,,
Benjamin-Constant,,,
Benozzo Gozzoli,,,
Bernard Buffet,,,
Bernardo Bellotto,,,
Bernardo Strozzi,,,
